created_at,entry_id,Temperature,Humidity,Moisture Sensor,Light Sensor,latitude,longitude,elevation,status
2023-02-07T08:53:00+07:00,315,26,75,1206,253,,,,Bukan Fuzzy
2023-02-07T08:53:20+07:00,316,26,76,1170,261,,,,Bukan Fuzzy
2023-02-07T08:53:38+07:00,317,26,77,1221,266,,,,Bukan Fuzzy
2023-02-07T08:54:04+07:00,318,26,76,1235,266,,,,Bukan Fuzzy
2023-02-07T08:54:40+07:00,319,26,76,1203,257,,,,Bukan Fuzzy
2023-02-07T08:54:59+07:00,320,26,77,1218,253,,,,Bukan Fuzzy
2023-02-07T08:55:18+07:00,321,26,80,1164,253,,,,Bukan Fuzzy
2023-02-07T08:55:39+07:00,322,26,77,1237,253,,,,Bukan Fuzzy
2023-02-07T08:55:58+07:00,323,26,77,1185,255,,,,Bukan Fuzzy
2023-02-07T08:56:18+07:00,324,26,77,1234,267,,,,Bukan Fuzzy
2023-02-07T08:56:38+07:00,325,26,77,1207,267,,,,Bukan Fuzzy
2023-02-07T08:56:58+07:00,326,26,77,1185,269,,,,Bukan Fuzzy
2023-02-07T08:57:18+07:00,327,26,76,1221,267,,,,Bukan Fuzzy
2023-02-07T08:57:40+07:00,328,26,77,1259,271,,,,Bukan Fuzzy
2023-02-07T08:57:58+07:00,329,26,78,1218,270,,,,Bukan Fuzzy
2023-02-07T08:58:20+07:00,330,26,77,1211,268,,,,Bukan Fuzzy
2023-02-07T08:58:39+07:00,331,26,76,1196,271,,,,Bukan Fuzzy
2023-02-07T08:58:58+07:00,332,26,77,1232,273,,,,Bukan Fuzzy
2023-02-07T08:59:20+07:00,333,26,77,1185,273,,,,Bukan Fuzzy
2023-02-07T08:59:45+07:00,334,26,77,1225,274,,,,Bukan Fuzzy
2023-02-07T09:00:31+07:00,335,26,77,1239,276,,,,Bukan Fuzzy
2023-02-07T09:01:07+07:00,336,26,78,1208,275,,,,Bukan Fuzzy
2023-02-07T09:01:23+07:00,337,26,77,1112,274,,,,Bukan Fuzzy
2023-02-07T09:01:52+07:00,338,26,77,1233,282,,,,Bukan Fuzzy
2023-02-07T09:02:22+07:00,339,27,76,1239,271,,,,Bukan Fuzzy
